Grupo;Medicamento;Indicación principal;Dosis pediátrica usual;Dosis neonatal;Dosis máxima / límite;Vía;Recomendaciones;Ajuste renal/hepático;Monitorización;Fuente / URL
Antibióticos;Cefalexina;ITU baja, piel y tejidos blandos;"25–50 mg/kg/día dividido cada 6–8 h; grave hasta 100 mg/kg/día";No uso neonatal de primera línea;Máx 4 g/día;VO;Buena opción oral para piel/ITU no complicada sensible.;Renal: ajustar.;Respuesta clínica, rash, diarrea.;https://www.rch.org.au/clinicalguide/guideline_index/antibiotics/
Antibióticos;Cefazolina;Profilaxis quirúrgica, piel/tejidos blandos;"25–50 mg/kg/dosis IV cada 8 h; profilaxis 30 mg/kg preop";Neonatal según edad/intervalo;"Máx 2 g/dosis habitual; profilaxis hasta 2 g";IV;"Primera línea frecuente para profilaxis quirúrgica; repetir intraoperatorio según duración.";Renal: ajustar.;Alergia, respuesta clínica.;https://www.rch.org.au/clinicalguide/guideline_index/antibiotics/
Antibióticos;Cefotaxima;"Sepsis/meningitis, Gram negativos; alternativa neonatal a ceftriaxona";"50 mg/kg/dosis IV cada 6–8 h; meningitis puede requerir más";50 mg/kg/dosis con intervalo según EG/EPN;Máx 2 g/dosis usual;IV/IM;Preferible a ceftriaxona en neonatos cuando se requiere cefalosporina 3ª gen.;Renal: ajustar.;Clínica, cultivos, hemograma si prolongado.;https://www.who.int/publications/i/item/978-92-4-154837-3
Antibióticos;Ceftriaxona;Neumonía grave, meningitis, sepsis en niños mayores;"50–75 mg/kg/día cada 24 h; meningitis 100 mg/kg/día";Evitar en neonatos, especialmente prematuros/hiperbilirrubinemia/calcio IV;"Máx 2 g/día usual; meningitis 4 g/día";IV/IM;"No administrar con calcio IV en neonatos; riesgo de bilirrubina libre/kernicterus.";Renal/hepático: precaución si ambos comprometidos.;Clínica, bilirrubina en lactantes pequeños, diarrea.;https://medicalguidelines.msf.org/en/viewport/EssDr/english/ceftriaxone-injectable-16682532.html
Antibióticos;Ceftazidima;Gram negativos/Pseudomonas;50 mg/kg/dosis IV cada 8 h;Según EG/EPN con intervalos prolongados;Máx 2 g/dosis;IV/IM;"No cubre bien Gram positivos; usar según foco/cultivo.";Renal: ajustar.;Cultivos, función renal, respuesta clínica.;https://www.rch.org.au/clinicalguide/guideline_index/antibiotics/
Antibióticos;Cefepime;Pseudomonas, neutropenia febril, infecciones graves;50 mg/kg/dosis IV cada 8–12 h;Uso neonatal especializado;Máx 2 g/dosis;IV;Vigilar neurotoxicidad si insuficiencia renal.;Renal: ajustar obligatoriamente.;Función renal, estado neurológico, cultivos.;https://www.rch.org.au/clinicalguide/guideline_index/antibiotics/
Antibióticos;Gentamicina;Sepsis neonatal, Gram negativos, sinergia;"5–7.5 mg/kg/dosis IV/IM cada 24 h en muchos esquemas pediátricos; otros según niveles";"Dosis e intervalo según EG/EPN/peso; puede ser cada 24–48 h";Según niveles y función renal;IV/IM;Fármaco de margen estrecho. Considerar niveles pico/valle o método local.;Renal: ajustar/espaciar.;Creatinina, diuresis, niveles, audición si prolongado.;https://www.rch.org.au/clinicalguide/guideline_index/antibiotics/
Antibióticos;Amikacina;Gram negativos resistentes, sepsis seleccionada;15–22.5 mg/kg/dosis IV/IM cada 24 h según esquema;"Según EG/EPN/peso; intervalos 24–48 h";Según niveles;IV/IM;"Mayor potencia contra algunos Gram negativos; monitorizar niveles.";Renal: ajustar/espaciar.;Creatinina, niveles, audición.;https://www.rch.org.au/clinicalguide/guideline_index/antibiotics/
Antibióticos;Vancomicina;MRSA, infecciones graves por Gram positivos;"15 mg/kg/dosis IV cada 6 h en niños; individualizar por AUC/niveles";Según EG/EPN/peso y función renal;Según niveles/AUC;IV/VO (C. difficile);Infundir lento para evitar reacción de infusión. Monitorización terapéutica.;Renal: ajustar.;Niveles/AUC, creatinina, clínica.;https://www.rch.org.au/clinicalguide/guideline_index/antibiotics/
Antibióticos;Clindamicina;Piel/tejidos blandos, anaerobios, toxina estreptocócica/estafilocócica;10 mg/kg/dosis cada 6–8 h;Uso neonatal especializado;Máx 40 mg/kg/día o 2.7 g/día según indicación;VO/IV;"Buena penetración tisular; vigilar diarrea/C. difficile.";Hepático: precaución.;Diarrea, hepatograma si prolongado.;https://www.rch.org.au/clinicalguide/guideline_index/antibiotics/
Antibióticos;Azitromicina;Tos ferina, neumonía atípica;"10 mg/kg día 1, luego 5 mg/kg/día días 2–5; o 10 mg/kg/día 3 días";"Uso neonatal específico en tos ferina; precaución estenosis pilórica";Máx 500 mg día 1, luego 250 mg/día;VO/IV;"Vigilar QT; útil por pauta corta.";Hepático: precaución.;QT si riesgo, síntomas GI.;https://medicalguidelines.msf.org/
Antibióticos;Claritromicina;Neumonía atípica, H. pylori en esquemas;7.5 mg/kg/dosis cada 12 h;No rutina neonatal;Máx 500 mg/dosis;VO/IV;"Muchas interacciones por CYP3A4; vigilar QT.";"Renal: ajustar; hepático: precaución.";QT, interacciones, síntomas GI.;https://bnf.nice.org.uk/
Antibióticos;Meropenem;Sepsis grave, meningitis, BLEE, intraabdominal;"20 mg/kg/dosis IV cada 8 h; meningitis 40 mg/kg/dosis";Según EG/EPN con intervalos mayores;Máx 2 g/dosis;IV;"Reservar para sospecha/confirmación de resistencia; desescalar si cultivos.";Renal: ajustar.;Cultivos, función renal, convulsiones si riesgo.;https://www.rch.org.au/clinicalguide/guideline_index/antibiotics/
Antibióticos;Piperacilina/tazobactam;Infección intraabdominal, sepsis, Pseudomonas;80–100 mg/kg/dosis de piperacilina cada 6–8 h;Uso neonatal según protocolo;Máx 4 g piperacilina/dosis;IV;"Amplio espectro; ajustar a cultivos.";Renal: ajustar.;Función renal, electrolitos, cultivos.;https://www.rch.org.au/clinicalguide/guideline_index/antibiotics/
Antibióticos;Metronidazol;Anaerobios, giardiasis/amebiasis, intraabdominal;"7.5–10 mg/kg/dosis cada 8 h; según indicación";Carga y mantenimiento según EG/EPN;Máx 500 mg/dosis usual;VO/IV/rectal;"Evitar alcohol; sabor metálico; neurotoxicidad si prolongado.";Hepático: reducir en insuficiencia grave.;Clínica, hepatograma si prolongado, síntomas neurológicos.;https://medicalguidelines.msf.org/
Antibióticos;Trimetoprim-sulfametoxazol;ITU, P. jirovecii, infecciones piel por MRSA sensible;8–12 mg/kg/día de TMP dividido cada 12 h;Evitar en <2 meses salvo indicación especializada;Máx TMP 320 mg/día usual;VO/IV;"No usar en hiperbilirrubinemia neonatal; considerar G6PD.";"Renal: ajustar; hepático: precaución.";Hemograma, creatinina, K si prolongado.;https://www.who.int/publications/i/item/9789241547659
Antivirales;Aciclovir;HSV, varicela grave, encefalitis herpética;10–20 mg/kg/dosis IV cada 8 h según indicación;HSV neonatal: 20 mg/kg/dosis IV cada 8 h;Según indicación;IV/VO;"Hidratar bien; riesgo de cristaluria/nefrotoxicidad.";Renal: ajustar.;Creatinina, diuresis, lesiones/neurología.;https://www.who.int/publications/i/item/978-92-4-154837-3
Antivirales;Oseltamivir;Influenza confirmada o sospechada en riesgo;"<1 año: 3 mg/kg/dosis cada 12 h; >1 año por peso";Neonatal especializado;Máx 75 mg/dosis;VO;"Mayor beneficio si inicio precoz; no esperar prueba si grave/riesgo.";Renal: ajustar.;Síntomas GI, evolución respiratoria.;https://www.cdc.gov/flu/treatment/children-antiviral.html
Antivirales;Ganciclovir;CMV congénito/sistémico;5 mg/kg/dosis IV cada 12 h;Uso neonatal especializado, típico CMV sintomático;Según niveles/función renal;IV;"Alto riesgo de neutropenia; uso por especialista.";Renal: ajustar.;Hemograma, creatinina, carga viral según protocolo.;https://bnf.nice.org.uk/
Antifúngicos;Fluconazol;Candidiasis mucosa/invasiva, profilaxis seleccionada;"6–12 mg/kg/día; carga 12 mg/kg según indicación";"Dosis/intervalo según EG/EPN; intervalos mayores";Máx 400–800 mg/día según indicación;VO/IV;"Buena penetración; no cubre algunas Candida resistentes.";"Renal: ajustar; hepático: vigilar.";Hepatograma, cultivos, QT si riesgo.;https://bnf.nice.org.uk/
Antifúngicos;Anfotericina B deoxicolato;Micosis invasivas, candidemia neonatal;0.5–1.5 mg/kg/día IV;Uso neonatal frecuente en candidiasis invasiva;Según formulación;IV;No confundir formulaciones. Nefrotóxica y altera electrolitos.;"Renal: precaución; ajustar no siempre pero vigilar.";Creatinina, K, Mg, reacciones de infusión.;https://bnf.nice.org.uk/
Antifúngicos;Anfotericina B liposomal;Micosis invasivas, menor nefrotoxicidad;3–5 mg/kg/día IV;Uso especializado;Según indicación;IV;Formulación no intercambiable con deoxicolato.;Renal: vigilar.;Creatinina, K, Mg, hepatograma.;https://bnf.nice.org.uk/
Antifúngicos;Micafungina;Candidemia/candidiasis invasiva;"2–4 mg/kg/día IV; dosis mayores según foco";Uso neonatal especializado;Máx según indicación;IV;"Opción en candidiasis invasiva; consultar infectología.";Hepático: vigilar.;Hepatograma, cultivos.;https://bnf.nice.org.uk/
Antifúngicos;Voriconazol;Aspergilosis, hongos resistentes;"Dosis por peso/edad; requiere niveles";No rutina neonatal;Según niveles;VO/IV;"Alta variabilidad; monitorizar niveles; fotosensibilidad/interacciones.";Hepático: ajustar/evitar según gravedad.;Niveles, hepatograma, visión, QT.;https://bnf.nice.org.uk/
Respiratorios;Salbutamol/albuterol;Crisis asmática, broncoespasmo;"MDI: 2–10 disparos con aerocámara; nebulizado 0.15 mg/kg/dosis (mín 2.5 mg, máx 5 mg)";No uso rutinario neonatal;Según respuesta y protocolo;Inhalado/nebulizado;"Preferir MDI con aerocámara cuando posible; vigilar taquicardia/hipokalemia.";No requiere ajuste renal usual.;FR, SatO2, tiraje, FC, K si uso continuo.;https://www.rch.org.au/clinicalguide/
Respiratorios;Ipratropio bromuro;Crisis asmática moderada-grave como coadyuvante;Neb 250 mcg (<20 kg) o 500 mcg (?20 kg) cada 20 min x3 dosis iniciales;No rutina neonatal;Según protocolo;Inhalado/nebulizado;"No es broncodilatador de mantenimiento; coadyuvante en urgencias.";No ajuste usual.;Respuesta clínica, FC.;https://www.rch.org.au/clinicalguide/
Respiratorios;Budesonida inhalada/nebulizada;Control de asma, crup según esquema;"Neb 0.25–0.5 mg cada 12 h; dosis según gravedad";Uso especializado en DBP/laringotraqueitis;Según esquema;Inhalado/nebulizado;"Enjuagar boca; no es fármaco de rescate en asma.";No ajuste usual.;Control de síntomas, crecimiento si uso crónico.;https://bnf.nice.org.uk/
Respiratorios;Fluticasona inhalada;Control de asma persistente;Dosis baja-media-alta según edad/dispositivo;No rutina neonatal;Según dispositivo;Inhalado;"Usar con aerocámara si MDI; técnica inhalatoria es clave.";No ajuste usual.;Síntomas, exacerbaciones, crecimiento.;https://bnf.nice.org.uk/
Respiratorios;Dexametasona;Crup, asma exacerbada, edema cerebral según indicación;Crup: 0.15–0.6 mg/kg dosis única;Uso neonatal específico según indicación;Máx crup 10–12 mg;VO/IV/IM;"En crup una dosis suele ser suficiente; vigilar glucemia si repetido.";Hepático: precaución.;Glucemia, PA, respuesta respiratoria.;https://www.rch.org.au/clinicalguide/
Respiratorios;Prednisolona/prednisona;Exacerbación asmática, inflamación sistémica;1–2 mg/kg/día VO por 3–5 días según indicación;No rutina neonatal;Máx 40–60 mg/día;VO;"Usar cursos cortos en exacerbaciones; no suspender bruscamente si uso prolongado.";Hepático: precaución.;Glucemia, PA, evolución clínica.;https://www.rch.org.au/clinicalguide/
Respiratorios;Adrenalina nebulizada;Crup moderado-severo;0.5 mL/kg de adrenalina 1:1000 nebulizada, máx 5 mL;Uso especializado;Máx 5 mL 1:1000;Nebulizada;"Observar rebote tras administración; no reemplaza corticoide.";No ajuste usual.;FC, PA, estridor, tiraje.;https://www.rch.org.au/clinicalguide/
Gastrointestinales;Ondansetrón;Vómitos por gastroenteritis/quimioterapia/postoperatorio;"0.15 mg/kg/dosis; VO por peso; cada 8 h si indicado";No rutina neonatal;Máx 8 mg/dosis;VO/IV/ODT;"Vigilar QT; evitar en obstrucción intestinal no evaluada.";Hepático: reducir en insuficiencia grave.;QT si riesgo, hidratación.;https://www.rch.org.au/clinicalguide/
Gastrointestinales;Omeprazol;ERGE seleccionada, esofagitis, protección gástrica;"0.7–1 mg/kg/día; puede requerir hasta 2 mg/kg/día";Uso neonatal especializado;Máx 20–40 mg/día usual;VO;"Evitar uso indiscriminado en lactantes; no trata regurgitación fisiológica.";Hepático: precaución.;Síntomas, Mg/B12 si crónico.;https://bnf.nice.org.uk/
Gastrointestinales;Pantoprazol;ERGE/esofagitis, sangrado digestivo, profilaxis seleccionada;1 mg/kg/día IV/VO;Uso neonatal especializado;Máx 40 mg/día;IV/VO;"Revalorar necesidad; riesgo de infecciones si uso prolongado.";Hepático: precaución.;Síntomas, Mg si crónico.;https://bnf.nice.org.uk/
Gastrointestinales;Lactulosa;Estreñimiento;"1–3 mL/kg/día dividido cada 12 h; titular respuesta";Uso neonatal con precaución;Titular a efecto;VO;"Ajustar según deposiciones; puede causar distensión/diarrea.";No ajuste usual.;Frecuencia deposiciones, hidratación.;https://bnf.nice.org.uk/
Gastrointestinales;Polietilenglicol (PEG);Estreñimiento funcional, impactación;"Mantenimiento 0.4–1 g/kg/día; desimpactación dosis mayores según protocolo";No rutina neonatal;Según producto;VO;"Primera línea frecuente en estreñimiento funcional; asegurar hidratación.";No ajuste usual.;Evacuaciones, dolor abdominal.;https://www.rch.org.au/clinicalguide/
Gastrointestinales;Metoclopramida;Náusea/vómito seleccionado, gastroparesia;0.1–0.15 mg/kg/dosis cada 6–8 h;Evitar en neonatos salvo indicación especializada;Máx 10 mg/dosis;VO/IV/IM;"Riesgo de distonía/extrapiramidal; evitar uso prolongado.";"Renal: ajustar; hepático: precaución.";Síntomas extrapiramidales, sedación.;https://bnf.nice.org.uk/
Gastrointestinales;Zinc;Diarrea aguda en niños;"<6 meses: 10 mg/día; ?6 meses: 20 mg/día por 10–14 días";No rutina neonatal;20 mg/día;VO;Recomendado junto con SRO en diarrea según OMS.;No ajuste usual.;Tolerancia GI.;https://www.who.int/publications/i/item/978-92-4-154837-3
Cardiovasculares/urgencias;Adrenalina IM;Anafilaxia;0.01 mg/kg IM de solución 1 mg/mL (1:1000);Igual principio, dosis por peso;Máx 0.3–0.5 mg/dosis según edad/tamaño;IM;"Primera línea en anafilaxia; repetir cada 5–15 min si persiste.";No ajuste en urgencia.;PA, FC, respiración, respuesta.;https://www.rch.org.au/clinicalguide/
Cardiovasculares/urgencias;Adrenalina IV/IO;Paro cardiorrespiratorio;0.01 mg/kg IV/IO de solución 0.1 mg/mL (1:10,000) cada 3–5 min;Igual principio por peso;Máx 1 mg/dosis;IV/IO;"Usar concentración correcta; alto riesgo de error de dilución.";No ajuste en paro.;Ritmo, pulso, calidad RCP.;https://www.rch.org.au/clinicalguide/
Cardiovasculares;Adenosina;TSV estable con QRS estrecho;"0.1 mg/kg IV rápido; segunda 0.2 mg/kg";Uso especializado neonatal;"Máx primera 6 mg; segunda 12 mg";IV rápido;"Administrar en bolo rápido con flush; monitor ECG continuo.";No ajuste usual.;ECG, respuesta, recurrencia.;https://www.rch.org.au/clinicalguide/
Cardiovasculares;Dopamina;Shock, hipotensión seleccionada;5–20 mcg/kg/min en infusión;Uso neonatal frecuente según UCI;Titulación;IV infusión;"Usar bomba y vía segura; ajustar a objetivo hemodinámico.";No ajuste usual agudo.;PA, FC, diuresis, perfusión, lactato.;https://bnf.nice.org.uk/
Cardiovasculares;Dobutamina;Bajo gasto cardíaco;2–20 mcg/kg/min;Uso neonatal según UCI;Titulación;IV infusión;"Inotrópico; puede causar taquicardia/hipotensión.";No ajuste usual agudo.;PA, FC, perfusión, ecocardiografía si disponible.;https://bnf.nice.org.uk/
Cardiovasculares;Noradrenalina;Shock vasodilatado, hipotensión refractaria;0.05–2 mcg/kg/min, titular;Uso neonatal en UCI;Titulación;IV central preferible;"Vasopresor de alto riesgo; preferir vía central.";No ajuste usual agudo.;PA invasiva/no invasiva, perfusión, extravasación.;https://bnf.nice.org.uk/
Cardiovasculares;Milrinona;Bajo gasto, hipertensión pulmonar/postoperatorio cardíaco;"0.25–0.75 mcg/kg/min; carga omitible si hipotensión";Uso neonatal especializado;Titulación;IV infusión;"Riesgo de hipotensión; ajustar en renal.";Renal: reducir.;PA, FC, diuresis, lactato.;https://bnf.nice.org.uk/
Cardiovasculares;Furosemida;Edema, IC, sobrecarga hídrica;"1 mg/kg/dosis IV/VO; repetir/titular";0.5–1 mg/kg/dosis con intervalos mayores;"Según respuesta; evitar exceso";IV/VO;Control estricto de balance hídrico y electrolitos.;"Renal: puede requerir ajuste; hepatopatía precaución.";Diuresis, peso, Na/K/Cl, creatinina.;https://bnf.nice.org.uk/
Cardiovasculares;Espironolactona;IC, ascitis, ahorro de potasio;1–3 mg/kg/día dividido cada 12–24 h;Uso neonatal especializado;Máx 100 mg/día usual;VO;Vigilar hiperpotasemia, especialmente con IECA.;Renal: evitar/precaución.;K, creatinina, PA.;https://bnf.nice.org.uk/
Cardiovasculares;Captopril;HTA, IC;"Inicial 0.1–0.3 mg/kg/dosis cada 8 h; titular";Uso neonatal especializado con dosis bajas;Máx según edad/indicación;VO;"Primera dosis puede causar hipotensión; vigilar K.";Renal: ajustar/precaución.;PA, K, creatinina.;https://bnf.nice.org.uk/
Anticonvulsivantes/sedación;Diazepam;Crisis convulsiva aguda;"IV 0.1–0.3 mg/kg; rectal 0.3–0.5 mg/kg";"Uso neonatal especializado; preferir otros según protocolo";Máx 10 mg/dosis usual;IV/rectal/VO;"Riesgo de depresión respiratoria; no mezclar con opioides sin monitorización.";Hepático: precaución.;FR, SatO2, sedación, control convulsión.;https://www.rch.org.au/clinicalguide/
Anticonvulsivantes/sedación;Midazolam;Crisis convulsiva, sedación/procedimientos;"Bucal/IN 0.2–0.3 mg/kg; IV 0.05–0.1 mg/kg";Uso neonatal con dosis menores;Máx 10 mg bucal/IN habitual;IV/IN/bucal/IM;"Rápido y útil sin vía IV; vigilar depresión respiratoria.";Hepático/renal: precaución si infusión.;FR, SatO2, sedación.;https://www.rch.org.au/clinicalguide/
Anticonvulsivantes;Lorazepam;Estado epiléptico;0.05–0.1 mg/kg IV;Uso neonatal especializado;Máx 4 mg/dosis;IV;"Menor redistribución que diazepam; vigilar depresión respiratoria.";Hepático: precaución.;FR, SatO2, control convulsión.;https://www.rch.org.au/clinicalguide/
Anticonvulsivantes;Fenobarbital;Convulsiones neonatales, estado epiléptico;"Carga 20 mg/kg IV; mantenimiento 3–5 mg/kg/día";Fármaco frecuente en convulsión neonatal;Cargas adicionales según niveles/protocolo;IV/VO;"Sedación prolongada; monitorizar niveles si prolongado.";Hepático/renal: precaución.;Nivel, sedación, FR, función hepática.;https://bnf.nice.org.uk/
Anticonvulsivantes;Fenitoína;Estado epiléptico segunda línea;"Carga 20 mg/kg IV; mantenimiento 5 mg/kg/día dividido";Uso neonatal especializado;"Velocidad IV limitada; máx según protocolo";IV/VO;"No mezclar con dextrosa; riesgo arritmia/extravasación.";"Hepático: precaución; hipoalbuminemia altera niveles.";ECG/PA durante carga, niveles, albúmina.;https://www.rch.org.au/clinicalguide/
Anticonvulsivantes;Levetiracetam;Crisis focales/generalizadas, alternativa en estado epiléptico;"Carga 20–60 mg/kg IV/VO; mantenimiento 20–60 mg/kg/día dividido cada 12 h";Uso neonatal creciente especializado;Máx 3 g/día usual;VO/IV;"Pocas interacciones; ajustar en renal.";Renal: ajustar.;Respuesta, somnolencia, conducta.;https://bnf.nice.org.uk/
Anticonvulsivantes;Ácido valproico;Epilepsia seleccionada;"10–15 mg/kg/día inicial; titular a 20–60 mg/kg/día";Evitar en neonatos y menores pequeños salvo especialista;Máx 60 mg/kg/día;VO/IV;"Evitar en hepatopatía, trastornos mitocondriales; teratogénico en adolescentes.";Hepático: contraindicado en enfermedad significativa.;Hepatograma, plaquetas, niveles, amonio si síntomas.;https://bnf.nice.org.uk/
Sedación/analgesia;Ketamina;Sedación procedimental, inducción;"IV 1–2 mg/kg; IM 4–5 mg/kg";Uso neonatal especializado;Según respuesta;IV/IM;"Mantiene reflejos y PA relativamente; riesgo laringoespasmo/hipersalivación.";Hepático: precaución.;Vía aérea, SatO2, PA, recuperación.;https://www.rch.org.au/clinicalguide/guideline_index/Analgesia_and_sedation/
Sedación/analgesia;Propofol;Inducción/sedación corta;1–2 mg/kg IV titulado;Evitar uso rutinario/prolongado neonatal;"Titulación; evitar infusión prolongada en críticos pediátricos";IV;Riesgo hipotensión y síndrome de infusión con uso prolongado.;Hepático/renal: precaución.;PA, FR, SatO2, triglicéridos si infusión.;https://bnf.nice.org.uk/
Sedación/bloqueo neuromuscular;Rocuronio;Intubación, relajación muscular;0.6–1.2 mg/kg IV;Uso neonatal según protocolo;Según respuesta;IV;No seda ni analgesia: siempre asociar sedoanalgesia adecuada.;Hepático: prolonga efecto.;Ventilación, TOF si disponible.;https://bnf.nice.org.uk/
Sedación/bloqueo neuromuscular;Vecuronio;Relajación muscular en UCI/quirófano;"0.1 mg/kg IV; infusión según UCI";Uso neonatal según protocolo;Según respuesta;IV;"No seda ni analgesia; riesgo acumulación.";Hepático/renal: prolonga efecto.;Ventilación, TOF, debilidad prolongada.;https://bnf.nice.org.uk/
Neonatología;Cafeína citrato;Apnea del prematuro;"Carga 20 mg/kg de cafeína citrato; mantenimiento 5–10 mg/kg/día";Uso principal neonatal;Según niveles/respuesta;IV/VO;"Distinguir cafeína base vs citrato; mejora apnea y facilita extubación.";Hepático/renal inmaduros: vigilar en prematuro extremo.;FC, apnea, alimentación, niveles si toxicidad.;https://bnf.nice.org.uk/
Neonatología;Vitamina K fitomenadiona;Profilaxis enfermedad hemorrágica RN;"Dosis neonatal según peso y guía local; habitual 1 mg IM al nacer en RN término";Profilaxis universal al nacimiento;1 mg IM habitual término;IM/VO/IV;"No omitir; vía IM es más efectiva que esquemas orales incompletos.";No ajuste usual.;Sangrado, adherencia si vía oral.;https://www.who.int/publications/i/item/978-92-4-154837-3
Neonatología;Prostaglandina E1/alprostadil;Cardiopatía ductus-dependiente;0.01–0.05 mcg/kg/min, titular a menor dosis efectiva;Uso neonatal urgente;Titulación;IV infusión;Puede causar apnea: preparar soporte ventilatorio.;No ajuste usual agudo.;SatO2, PA, apnea, temperatura.;https://bnf.nice.org.uk/
Neonatología;Surfactante pulmonar;Síndrome de dificultad respiratoria neonatal;Dosis depende de preparación comercial;Uso neonatal;Según producto;Endotraqueal;"Administrar por equipo entrenado; no intercambiar dosis entre productos.";No aplica.;SatO2, FiO2, ventilación, Rx.;https://bnf.nice.org.uk/
Urgencias/electrolitos;Glucosa hipertónica/D10;Hipoglucemia;"D10W 2–5 mL/kg IV bolo; luego infusión según requerimiento";D10 2 mL/kg frecuente en RN sintomático;Según glucemia;IV/IO;Evitar dextrosa muy concentrada por vía periférica si posible.;No ajuste.;Glucemia seriada, vía venosa.;https://www.rch.org.au/clinicalguide/
Urgencias/electrolitos;Calcio gluconato 10%;Hipocalcemia, hiperpotasemia con cambios ECG;0.5–1 mL/kg IV lento;Uso neonatal frecuente según calcio/ECG;Máx 10–20 mL/dosis según tamaño;IV;"Administrar lento con monitor ECG; extravasación lesiva.";Renal: precaución hiperCa.;ECG, calcio, sitio IV.;https://www.rch.org.au/clinicalguide/
