medicamento;grupo;via_normalizada;dosis_min_mg_kg;dosis_max_mg_kg;dosis_fija_mg;frecuencia_min_horas;frecuencia_max_horas;dosis_max_mg_kg_dia;dosis_max_absoluta_mg_dia;es_neonatal;texto_original_dosis;texto_original_maximo;requiere_revision_manual;comentario_normalizacion
Azitromicina;Antibióticos;VO/IV;10.0;10.0;;;;;250.0;True;"10 mg/kg día 1, luego 5 mg/kg/día días 2-5; o 10 mg/kg/día 3 días";Máx 500 mg día 1, luego 250 mg/día;True;No se encontró patrón claro de frecuencia (cada X h). | Texto condicional o múltiples esquemas detectados.
Claritromicina;Antibióticos;VO/IV;7.5;7.5;;12.0;12.0;;;True;7.5 mg/kg/dosis cada 12 h;Máx 500 mg/dosis;False;
Meropenem;Antibióticos;IV;20.0;20.0;;8.0;8.0;;;True;"20 mg/kg/dosis IV cada 8 h; meningitis 40 mg/kg/dosis";Máx 2 g/dosis;True;No se pudo extraer límite máximo numérico. | Texto condicional o múltiples esquemas detectados.
Piperacilina/tazobactam;Antibióticos;IV;80.0;100.0;;6.0;8.0;;;True;80-100 mg/kg/dosis de piperacilina cada 6-8 h;Máx 4 g piperacilina/dosis;True;No se pudo extraer límite máximo numérico.
Metronidazol;Antibióticos;VO/IV/RECTAL;7.5;10.0;;8.0;8.0;;;True;"7.5-10 mg/kg/dosis cada 8 h; según indicación";Máx 500 mg/dosis usual;True;Texto condicional o múltiples esquemas detectados.
Trimetoprim-sulfametoxazol;Antibióticos;VO/IV;8.0;12.0;;12.0;12.0;;320.0;False;8-12 mg/kg/día de TMP dividido cada 12 h;Máx TMP 320 mg/día usual;False;
Aciclovir;Antivirales;IV/VO;10.0;20.0;;8.0;8.0;;;True;10-20 mg/kg/dosis IV cada 8 h según indicación;Según indicación;True;No se pudo extraer límite máximo numérico. | Texto condicional o múltiples esquemas detectados.
Oseltamivir;Antivirales;VO;3.0;3.0;;12.0;12.0;;;True;"<1 año: 3 mg/kg/dosis cada 12 h; >1 año por peso";Máx 75 mg/dosis;True;Texto condicional o múltiples esquemas detectados.
Ganciclovir;Antivirales;IV;5.0;5.0;;12.0;12.0;;;True;5 mg/kg/dosis IV cada 12 h;Según niveles/función renal;True;No se pudo extraer límite máximo numérico.
Fluconazol;Antifúngicos;VO/IV;6.0;12.0;;;;;800.0;True;"6-12 mg/kg/día; carga 12 mg/kg según indicación";Máx 400-800 mg/día según indicación;True;No se encontró patrón claro de frecuencia (cada X h). | Texto condicional o múltiples esquemas detectados.
Anfotericina B deoxicolato;Antifúngicos;IV;0.5;1.5;;;;;;True;0.5-1.5 mg/kg/día IV;Según formulación;True;No se encontró patrón claro de frecuencia (cada X h). | No se pudo extraer límite máximo numérico.
Anfotericina B liposomal;Antifúngicos;IV;3.0;5.0;;;;;;True;3-5 mg/kg/día IV;Según indicación;True;No se encontró patrón claro de frecuencia (cada X h). | No se pudo extraer límite máximo numérico.
Micafungina;Antifúngicos;IV;2.0;4.0;;;;;;True;"2-4 mg/kg/día IV; dosis mayores según foco";Máx según indicación;True;No se encontró patrón claro de frecuencia (cada X h). | No se pudo extraer límite máximo numérico. | Texto condicional o múltiples esquemas detectados.
Voriconazol;Antifúngicos;VO/IV;;;;;;;;True;"Dosis por peso/edad; requiere niveles";Según niveles;True;No se encontró patrón claro de mg/kg en dosis. | No se encontró patrón claro de frecuencia (cada X h). | No se pudo extraer límite máximo numérico. | Texto condicional o múltiples esquemas detectados.
Salbutamol/albuterol;Respiratorios;INHALADO/NEBULIZADO;0.15;0.15;;;;;;True;"MDI: 2-10 disparos con aerocámara; nebulizado 0.15 mg/kg/dosis (mín 2.5 mg, máx 5 mg)";Según respuesta y protocolo;True;No se encontró patrón claro de frecuencia (cada X h). | No se pudo extraer límite máximo numérico. | Texto condicional o múltiples esquemas detectados.
Ipratropio bromuro;Respiratorios;INHALADO/NEBULIZADO;;;;;;;;True;Neb 250 mcg (<20 kg) o 500 mcg (?20 kg) cada 20 min x3 dosis iniciales;Según protocolo;True;No se encontró patrón claro de mg/kg en dosis. | No se encontró patrón claro de frecuencia (cada X h). | No se pudo extraer límite máximo numérico.
Budesonida inhalada/nebulizada;Respiratorios;INHALADO/NEBULIZADO;;;;12.0;12.0;;;True;"Neb 0.25-0.5 mg cada 12 h; dosis según gravedad";Según esquema;True;No se encontró patrón claro de mg/kg en dosis. | No se pudo extraer límite máximo numérico. | Texto condicional o múltiples esquemas detectados.
Fluticasona inhalada;Respiratorios;INHALADO;;;;;;;;True;Dosis baja-media-alta según edad/dispositivo;Según dispositivo;True;No se encontró patrón claro de mg/kg en dosis. | No se encontró patrón claro de frecuencia (cada X h). | No se pudo extraer límite máximo numérico. | Texto condicional o múltiples esquemas detectados.
Dexametasona;Respiratorios;VO/IV/IM;0.15;0.6;;;;;;True;Crup: 0.15-0.6 mg/kg dosis única;Máx crup 10-12 mg;True;No se encontró patrón claro de frecuencia (cada X h). | No se pudo extraer límite máximo numérico.
Prednisolona/prednisona;Respiratorios;VO;1.0;2.0;;;;;60.0;True;1-2 mg/kg/día VO por 3-5 días según indicación;Máx 40-60 mg/día;True;No se encontró patrón claro de frecuencia (cada X h). | Texto condicional o múltiples esquemas detectados.
Adrenalina nebulizada;Respiratorios;NEBULIZADA;;;;;;;;True;0.5 mL/kg de adrenalina 1:1000 nebulizada, máx 5 mL;Máx 5 mL 1:1000;True;No se encontró patrón claro de mg/kg en dosis. | No se encontró patrón claro de frecuencia (cada X h). | No se pudo extraer límite máximo numérico.
Ondansetrón;Gastrointestinales;VO/IV/ODT;0.15;0.15;;8.0;8.0;;;True;"0.15 mg/kg/dosis; VO por peso; cada 8 h si indicado";Máx 8 mg/dosis;True;Texto condicional o múltiples esquemas detectados.
Omeprazol;Gastrointestinales;VO;0.7;1.0;;;;;40.0;True;"0.7-1 mg/kg/día; puede requerir hasta 2 mg/kg/día";Máx 20-40 mg/día usual;True;No se encontró patrón claro de frecuencia (cada X h). | Texto condicional o múltiples esquemas detectados.
Pantoprazol;Gastrointestinales;IV/VO;1.0;1.0;;;;;40.0;True;1 mg/kg/día IV/VO;Máx 40 mg/día;True;No se encontró patrón claro de frecuencia (cada X h).
Lactulosa;Gastrointestinales;VO;;;;12.0;12.0;;;True;"1-3 mL/kg/día dividido cada 12 h; titular respuesta";Titular a efecto;True;No se encontró patrón claro de mg/kg en dosis. | No se pudo extraer límite máximo numérico. | Texto condicional o múltiples esquemas detectados.
Polietilenglicol (PEG);Gastrointestinales;VO;;;;;;;;True;"Mantenimiento 0.4-1 g/kg/día; desimpactación dosis mayores según protocolo";Según producto;True;No se encontró patrón claro de mg/kg en dosis. | No se encontró patrón claro de frecuencia (cada X h). | No se pudo extraer límite máximo numérico. | Texto condicional o múltiples esquemas detectados.
Metoclopramida;Gastrointestinales;VO/IV/IM;0.1;0.15;;6.0;8.0;;;False;0.1-0.15 mg/kg/dosis cada 6-8 h;Máx 10 mg/dosis;False;
Zinc;Gastrointestinales;VO;;;;;;;20.0;True;"<6 meses: 10 mg/día; ?6 meses: 20 mg/día por 10-14 días";20 mg/día;True;No se encontró patrón claro de mg/kg en dosis. | No se encontró patrón claro de frecuencia (cada X h). | Texto condicional o múltiples esquemas detectados.
Adrenalina IM;Cardiovasculares/urgencias;IM;0.01;0.01;;;;;;True;0.01 mg/kg IM de solución 1 mg/mL (1:1000);Máx 0.3-0.5 mg/dosis según edad/tamaño;True;No se encontró patrón claro de frecuencia (cada X h).
Adrenalina IV/IO;Cardiovasculares/urgencias;IV/IO;0.01;0.01;;;;;;True;0.01 mg/kg IV/IO de solución 0.1 mg/mL (1:10,000) cada 3-5 min;Máx 1 mg/dosis;True;No se encontró patrón claro de frecuencia (cada X h).
Adenosina;Cardiovasculares;IVRÁPIDO;0.1;0.1;;;;;;True;"0.1 mg/kg IV rápido; segunda 0.2 mg/kg";"Máx primera 6 mg; segunda 12 mg";True;No se encontró patrón claro de frecuencia (cada X h). | No se pudo extraer límite máximo numérico. | Texto condicional o múltiples esquemas detectados.
Dopamina;Cardiovasculares;IVINFUSIÓN;;;;;;;;True;5-20 mcg/kg/min en infusión;Titulación;True;No se encontró patrón claro de mg/kg en dosis. | No se encontró patrón claro de frecuencia (cada X h). | No se pudo extraer límite máximo numérico. | Texto condicional o múltiples esquemas detectados.
Dobutamina;Cardiovasculares;IVINFUSIÓN;;;;;;;;True;2-20 mcg/kg/min;Titulación;True;No se encontró patrón claro de mg/kg en dosis. | No se encontró patrón claro de frecuencia (cada X h). | No se pudo extraer límite máximo numérico. | Texto condicional o múltiples esquemas detectados.
Noradrenalina;Cardiovasculares;IVCENTRALPREFERIBLE;;;;;;;;True;0.05-2 mcg/kg/min, titular;Titulación;True;No se encontró patrón claro de mg/kg en dosis. | No se encontró patrón claro de frecuencia (cada X h). | No se pudo extraer límite máximo numérico. | Texto condicional o múltiples esquemas detectados.
Milrinona;Cardiovasculares;IVINFUSIÓN;;;;;;;;True;"0.25-0.75 mcg/kg/min; carga omitible si hipotensión";Titulación;True;No se encontró patrón claro de mg/kg en dosis. | No se encontró patrón claro de frecuencia (cada X h). | No se pudo extraer límite máximo numérico. | Texto condicional o múltiples esquemas detectados.
Furosemida;Cardiovasculares;IV/VO;1.0;1.0;;;;;;True;"1 mg/kg/dosis IV/VO; repetir/titular";"Según respuesta; evitar exceso";True;No se encontró patrón claro de frecuencia (cada X h). | No se pudo extraer límite máximo numérico. | Texto condicional o múltiples esquemas detectados.
Espironolactona;Cardiovasculares;VO;1.0;3.0;;12.0;24.0;;100.0;True;1-3 mg/kg/día dividido cada 12-24 h;Máx 100 mg/día usual;False;
Captopril;Cardiovasculares;VO;0.1;0.3;;8.0;8.0;;;True;"Inicial 0.1-0.3 mg/kg/dosis cada 8 h; titular";Máx según edad/indicación;True;No se pudo extraer límite máximo numérico. | Texto condicional o múltiples esquemas detectados.
Diazepam;Anticonvulsivantes/sedación;IV/RECTAL/VO;0.1;0.3;;;;;;True;"IV 0.1-0.3 mg/kg; rectal 0.3-0.5 mg/kg";Máx 10 mg/dosis usual;True;No se encontró patrón claro de frecuencia (cada X h). | Texto condicional o múltiples esquemas detectados.
Midazolam;Anticonvulsivantes/sedación;IV/IN/BUCAL/IM;0.2;0.3;;;;;;True;"Bucal/IN 0.2-0.3 mg/kg; IV 0.05-0.1 mg/kg";Máx 10 mg bucal/IN habitual;True;No se encontró patrón claro de frecuencia (cada X h). | No se pudo extraer límite máximo numérico. | Texto condicional o múltiples esquemas detectados.
Lorazepam;Anticonvulsivantes;IV;0.05;0.1;;;;;;True;0.05-0.1 mg/kg IV;Máx 4 mg/dosis;True;No se encontró patrón claro de frecuencia (cada X h).
Fenobarbital;Anticonvulsivantes;IV/VO;3.0;5.0;;;;;;True;"Carga 20 mg/kg IV; mantenimiento 3-5 mg/kg/día";Cargas adicionales según niveles/protocolo;True;No se encontró patrón claro de frecuencia (cada X h). | No se pudo extraer límite máximo numérico. | Texto condicional o múltiples esquemas detectados.
Fenitoína;Anticonvulsivantes;IV/VO;0.0;0.0;;;;;;True;"Carga 20 mg/kg IV; mantenimiento 5 mg/kg/día dividido";"Velocidad IV limitada; máx según protocolo";True;No se encontró patrón claro de frecuencia (cada X h). | No se pudo extraer límite máximo numérico. | Texto condicional o múltiples esquemas detectados.
Levetiracetam;Anticonvulsivantes;VO/IV;20.0;60.0;;12.0;12.0;;3000.0;True;"Carga 20-60 mg/kg IV/VO; mantenimiento 20-60 mg/kg/día dividido cada 12 h";Máx 3 g/día usual;True;Texto condicional o múltiples esquemas detectados.
Ácido valproico;Anticonvulsivantes;VO/IV;10.0;15.0;;;;60.0;;False;"10-15 mg/kg/día inicial; titular a 20-60 mg/kg/día";Máx 60 mg/kg/día;True;No se encontró patrón claro de frecuencia (cada X h). | Texto condicional o múltiples esquemas detectados.
Ketamina;Sedación/analgesia;IV/IM;1.0;2.0;;;;;;True;"IV 1-2 mg/kg; IM 4-5 mg/kg";Según respuesta;True;No se encontró patrón claro de frecuencia (cada X h). | No se pudo extraer límite máximo numérico. | Texto condicional o múltiples esquemas detectados.
Propofol;Sedación/analgesia;IV;1.0;2.0;;;;;;False;1-2 mg/kg IV titulado;"Titulación; evitar infusión prolongada en críticos pediátricos";True;No se encontró patrón claro de frecuencia (cada X h). | No se pudo extraer límite máximo numérico. | Texto condicional o múltiples esquemas detectados.
Rocuronio;Sedación/bloqueo neuromuscular;IV;0.6;1.2;;;;;;True;0.6-1.2 mg/kg IV;Según respuesta;True;No se encontró patrón claro de frecuencia (cada X h). | No se pudo extraer límite máximo numérico.
Vecuronio;Sedación/bloqueo neuromuscular;IV;0.1;0.1;;;;;;True;"0.1 mg/kg IV; infusión según UCI";Según respuesta;True;No se encontró patrón claro de frecuencia (cada X h). | No se pudo extraer límite máximo numérico. | Texto condicional o múltiples esquemas detectados.
Cafeína citrato;Neonatología;IV/VO;5.0;10.0;;;;;;True;"Carga 20 mg/kg de cafeína citrato; mantenimiento 5-10 mg/kg/día";Según niveles/respuesta;True;No se encontró patrón claro de frecuencia (cada X h). | No se pudo extraer límite máximo numérico. | Texto condicional o múltiples esquemas detectados.
Vitamina K fitomenadiona;Neonatología;IM/VO/IV;;;;;;;;True;"Dosis neonatal según peso y guía local; habitual 1 mg IM al nacer en RN término";1 mg IM habitual término;True;No se encontró patrón claro de mg/kg en dosis. | No se encontró patrón claro de frecuencia (cada X h). | No se pudo extraer límite máximo numérico. | Texto condicional o múltiples esquemas detectados.
Prostaglandina E1/alprostadil;Neonatología;IVINFUSIÓN;;;;;;;;True;0.01-0.05 mcg/kg/min, titular a menor dosis efectiva;Titulación;True;No se encontró patrón claro de mg/kg en dosis. | No se encontró patrón claro de frecuencia (cada X h). | No se pudo extraer límite máximo numérico. | Texto condicional o múltiples esquemas detectados.
Surfactante pulmonar;Neonatología;ENDOTRAQUEAL;;;;;;;;True;Dosis depende de preparación comercial;Según producto;True;No se encontró patrón claro de mg/kg en dosis. | No se encontró patrón claro de frecuencia (cada X h). | No se pudo extraer límite máximo numérico.
Glucosa hipertónica/D10;Urgencias/electrolitos;IV/IO;;;;;;;;True;"D10W 2-5 mL/kg IV bolo; luego infusión según requerimiento";Según glucemia;True;No se encontró patrón claro de mg/kg en dosis. | No se encontró patrón claro de frecuencia (cada X h). | No se pudo extraer límite máximo numérico. | Texto condicional o múltiples esquemas detectados.
Calcio gluconato 10%;Urgencias/electrolitos;IV;;;;;;;;True;0.5-1 mL/kg IV lento;Máx 10-20 mL/dosis según tamaño;True;No se encontró patrón claro de mg/kg en dosis. | No se encontró patrón claro de frecuencia (cada X h). | No se pudo extraer límite máximo numérico.
Sulfato de magnesio;Urgencias/electrolitos;IV/IM;25.0;50.0;;;;;;True;25-50 mg/kg IV en 20 min;Máx 2 g/dosis;True;No se encontró patrón claro de frecuencia (cada X h). | No se pudo extraer límite máximo numérico.
Bicarbonato de sodio;Urgencias/electrolitos;IV;;;;;;;;True;1-2 mEq/kg IV según indicación;Según gasometría;True;No se encontró patrón claro de mg/kg en dosis. | No se encontró patrón claro de frecuencia (cada X h). | No se pudo extraer límite máximo numérico. | Texto condicional o múltiples esquemas detectados.
Naloxona;Urgencias;IV/IM/IN;0.01;0.01;;;;;;True;"0.01 mg/kg IV/IM/IN; repetir/titular; puede requerir 0.1 mg/kg";Máx 2 mg/dosis inicial habitual;True;No se encontró patrón claro de frecuencia (cada X h). | Texto condicional o múltiples esquemas detectados.
Flumazenilo;Urgencias;IV;0.01;0.01;;;;;;True;0.01 mg/kg IV lento;"Máx 0.2 mg/dosis inicial; total según protocolo";True;No se encontró patrón claro de frecuencia (cada X h).
